название,текст
История с таксистом,"Ехал однажды мужик домой в 11 часов ночи, едет он, едет, и встречается ему бабка и говорит:  - Подвези-ка меня на кладбище, сынка повидать. - Садись, - говорит ей таксист.  Едут они и приехали, и старуха говорит ему:  - Подожди меня, я сейчас приду. - Хорошо, - говорит ей  таксист.   Приходит старуха к таксисту, а таксист видит - у старухи в зубах ткань, и таксист подумал: ""где-то упала и зацепилась"".  - Нет моего сынка здесь, поехали на другое.  Поехали. Приехали на другое, таксист ждет старуху. Приходит с синими губами и говорит ему: - Нету моего сына.  Приехали на третье кладбище, он ждет и ждет ее, приходит с красными глазами. Таксист так испугался, что спросил старуху:   - Ба, ты че? - А старуха и говорит:  - ОТДАЙ МОЁ СЕРДЦЕ!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
Черные руки из письма,"Одна семья - отец, мать и дочка - собралась летом в гости к бабушке. Перед отъездом внучка написала бабушке письмо, но не успела отправить. А перед тем как вложить его в конверт, на обратной стороне письма обвела свою кисть черным карандашом и заштриховала ее. Этим она вызвала Черные Руки. Когда семья села в поезд, девочка совершенно забыла о письме.  Ночью раздался страшный крик отца. Дочь испугалась и убежала в купе к соседям. Утром отец был мертв, и у него на горле были черные отпечатки. На следующую ночь девочка услыхала крик матери. Она испугалась еще больше и снова убежала к соседям. Утром на горле мертвой матери появились те же отпечатки. И девочка поняла, что настал ее черед.  Вечером она притаилась под кроватью с топором в руках. В полночь в купе появились Черные Руки. Они приближались к девочке. Девочка разрубила их пополам, но они срослись. Девочка рубила и рубила их, а руки срастались как ни в чем не бывало. Вдруг девочка почувствовала, что письмо в ее кармане дрожит, и она догадалась, в чем дело. Она выхватила письмо и порвала его на мелкие кусочки. Черные Руки исчезли. Этим девочка спасла себе жизнь. Потом она приехала к бабушке и осталась у нее жить."
Покойная мать,"В одной деревне жили муж и жена. В один прекрасный день у них родилась дочь. А через несколько дней жена умерла. Бедный отец очень горевал и печалился, особенно о ребенке: как воспитать и выкормить дочку без матери?   И вот он нанял одну старушку ухаживать за малюткой. Только что за диво? Днем ребенок не ест, не пьет и все время плачет. А как наступит ночь, словно и нет его - тихо и мирно спит. Старуха и думает: ""Отчего бы это?"" И решила она ночь не поспать: ""Может, чего и разведаю!""  И вот в самую полночь слышит она: кто-то отворил потихоньку дверь и подошел к люльке. Ребенок сразу затих, и слышит старуха, как будто ест и причмокивает. То же самое повторилось и на следующую ночь. Старуха рассказала обо всем отцу девочки. Тот и придумал. Собрал своих соседей, с вечера легли они на полу, перед собой поставили зажженную свечу, чтобы, когда нужно, осветить комнату, и накрыли ее глиняным горшком.  И вот пробили часы полночь. Дверь отворилась, кто-то подошел к люльке, и ребенок затих. В это время отец открыл свечу, смотрят: покойная мать стоит перед люлькой ребенка и кормит его мертвым молоком. Только комната осветилась, она обернулась, посмотрела мертвыми светящимися глазами на людей и исчезла. Все, кто видел ее, превратились в камень, а малютку нашли мертвой."
Скелет ведьмы,"В одной деревне умерла молодая женщина. Когда ее понесли на кладбище, она вдруг открыла глаза и сказала:   - Ваша деревня сгорит дотла!  Все испугались и бросились бежать в разные стороны. Тогда ведьма сказала, чтоб гроб сам лег в могилу и закрылся. Гроб сразу сорвался с места, полетел по воздуху и лег прямо в могилу.  Через несколько дней, ночью, начался пожар и вся деревня сгорела. Остались только несколько человек. Они пришли на кладбище и раскопали могилу. У женщины остались только кольца да скелет. Тогда они развели костер и бросили кости в него. Скелет стал подниматься, подниматься и скоро весь встал. Он засмеялся и сказал, что все, кто остался в живых, тот же миг умрут.  И люди стали падать в костер друг за другом. А скелет все смеялся и смеялся, костер становился все больше и больше. Но скоро исчез. От людей не осталось ничего. А скелет был цел и невридим."
Скульптура горниста,"Однажды в лагере был пожар. Никто не мог выбраться из столовой и только горнист смог, а за ним побежал повар. Горнист стал трубить в горн, повар услышал и убил мальчика. Но он не знал, куда деть труп, и сделал из мальчика скульптуру. И до сих пор она стоит в лагере ""ОРЛЁНОК"". Я сама там была и видела."
Кровопивец с бутылкой,"Гуляли по лесу парень и девушка. Началась гроза. Парень встал под дерево. Вдруг в дерево ударила молния и убила парня. На этом месте вырыли могилу и поставили огромный камень.  Как-то пошли на это место дети собирать грибы и не вернулись. Пошли их искать - и тоже не вернулись. Пришла поплакаться на могилку мать парня. Не пришла домой и она. Собрали люди совет и решили поставить на это место часового. В полночь часовой зевнул. На следующее утро его нашли мертвым. Врач осмотрел его и сказал, что он умер от потери крови.  Решили поставить человека, у которого бессонница. Около двенадцати ему вдруг сильно захотелось спать. Но он переборол сон и увидел такую картину: ровно в полночь раздался ужасный грохот, сверкнула молния. Надгробный камень раздвинулся (раскололся), и оттуда вышел, весь черный, мертвец. Мертвец подошел к часовому и хотел его задушить. Но часовой сильно ударил мертвеца прикладом. Тот упал и раскололся. Внутри мертвеца вместо сердца был бутылек. Из бутылька к ногтям левой руки тянулись провода. Мертвец впивался ногтями в сердце и откачивал в бутылек кровь людей.  Наутро из скалы вдруг вышла девушка, которая раньше гуляла с этим парнем в лесу. Она казалась необыкновенно красивой. Когда ее спросили, почему она такая красивая, она сказала:  - Я пила кровь, которую брала у своего любимого!  С тех пор ее стали звать кровопийкой."
Мертвая кошка,"Одному  мальчику на уроке природоведения сказали, что если он найдёт под вишнёвым деревом косточку и посадит её в землю, то вырастет дерево, которое будет приносить плоды. По дороге из школы мальчик нашёл под вишнёвым деревом косточку, принёс домой и посадил в горшочек с землёй. А это была косточка от хвоста скелета чёрной кошки.   Через несколько дней показался хилый и бледный росток. Мальчик заботился о нём, как родная мать. Каждое утро, уходя в школу, поливал из чайника, а вечером разрыхлял землю вокруг ростка карандашом и измерял его линейкой. Папе и маме, которые всё время спрашивали, что он такое выращивает, мальчик сказал, что это будет для них большой сюрприз. И действительно, с каждым днём бледный росток делался всё больше и толще, а на самом кончике у него стали появляться чёрные волоски.   Однажды ночью мальчику приснились две серые мыши и сказали:   - Мальчик, среди нас есть белая мышь, которой открыто будущее. И ей было видение, как на полу, по стенам и по потолку квартиры, в которой мы с тобой живём, течёт что-то красное. Она боится, что это кровь. Проснись скорей и выкинь свою гадость, которую ты выращиваешь, а иначе всех нас в ближайшем будущем ждёт ужасная и неминуемая гибель...       - Нет, - сказал мальчик, - не выкину. Нас ждёт не гибель, а вареники с вишнями. А то, что в вашем ближайшем будущем по стенам течёт, не кровь, а вишнёвый сок.  Утром мальчик встал и заметил, что все стены забрызганы кровью. Мёртвая черная кошка, которая выросла из косточки своего хвоста, выбралась из земли и съела родителей мальчика. Самого мальчика мертвая кошка пока не тронула, потому что была ему благодарна за то, что он её вырастил. Кошка оставила ему на тумбочке возле кровати записку:   ""СПАСИБО ТЕБЕ, МАЛЬЧИК. Я СКОРО ВЕРНУСЬ"""
Кровавые  цифры,"В одной школе был старый двор. Однажды пришёл в него гулять 4 ""А"" класс. Учитель не разрешал далеко от него уходить, не объясняя причины. Но две девочки и два мальчика смогли убежать вглубь двора. Так как двор был огромный, учитель ничего не заметил.   Ребята проскользнули в самый тёмный уголок двора и увидели чёрную дверь. На двери были написаны  кровавые  цифры 485 и 656. Дети попытались открыть дверь и она поддалась. Они вошли в страшную комнату и увидели ужасное зрелище. Везде в комнате валялись кости и черепа. Вдруг дверь захлопнулась. А на двери появились цифры 487 и 658, из которых лилась кровь."
Тень ведьмы,"Жила семья: папа, мама, дочь и бабка Петрова. Эта бабка была ведьмой. Все ведьмы должны передавать свое колдовство по наследству следующему поколению. А она умерла, так и не передав колдовство никому.  Однажды поздно вечером семья пила чай. Мама попросила дочку сходить в комнату бабушки и принести из буфета сахар. Дочка пришла в комнату, поставила стул, чтобы достать сахар, и только потянула руку, как кто-то ударил ее по руке. Она испугалась и побежала к родителям. Те ей не поверили.   Папа пошел за сахаром сам. Но и с ним произошло то же самое. Он оглянулся и увидел, что по стене бегает чья-то тень. Эта тень оказалась духом умершей старухи. Отец взял топор и хотел ударить по тени, но та исчезла и появилась в другом месте. Так продолжалось долго... Наконец отцу удалось попасть в тень. Из нее полилась черная кровь. И с тех пор тень больше не появлялась."
Золотой костыль,"В одной деревне жил человек. Был он небогатый, но имел золотой костыль. В костыле, в трубочке, он хранил вино. Костыль был золотой и усыпан драгоценными камнями. Человек хранил его под замком, а ключ носил у себя в кармане. Костыль же брал только на большие праздники. У этого человека было три сына. Когда он состарился, он сказал сыновьям:  - Когда я умру, костыль положите ко мне в гроб.  Через некоторое время он умер, сыновья так и сделали. А младший сын был завистливым и жадным. Он попросил оставить его одного с мертвым отцом, чтобы попрощаться. Когда все ушли, сын отломил большой драгоценный камень от костыля и спрятал в карман. Отца схоронили.   Младший сын продал камень за большие деньги и стал хорошо жить. Но этого ему показалось мало. И он решил раскопать могилу и похитить костыль. Все продумал и пошел на кладбище. Парень начал рыть могилу. Докопался до гроба. Когда лопата стукнула о крышку, сердце у него вздрогнуло. Паренек боялся мертвых, но жадность пересилила все. Он быстро открыл крышку и достал костыль. Даже не посмотрел на отца.   Сын закопал могилу, сверху набросал оставшиеся венки. Схватил лом, лопату и костыль, побежал в деревню. Утро только-только начиналось. Увидел в крестьянских избах огоньки, у парня на сердце стало легче.  Прошла неделя. И вот однажды ночью в комнату к сыну вошел отец и грубым голосом попросил у сына костыль. - У меня его нет, отец, - дрожащим голосом сказал сын. Он повторил это несколько раз. Отец исчез.  На вторую ночь повторилось то же самое. Подходила к концу третья ночь. Уже почти рассвело, когда возле кровати сына снова появился отец. В душе у парня что-то перевернулось. На него смотрели зеленые от злости глаза отца. Отец сквозь зубы повторял:  - Косты-ы-ыль, косты-ы-ыль, косты-ы-ыль... ОТДАЙ МОЙ КОСТЫЛЬ! - заорал отец и вцепился в сердце сына. За окном закричали петухи, и отец исчез. А мертвый сын так и остался лежать в кровати."
Проклятый дом,"Во времена Екатерины Второй на Украине орудовал атаман разбойников, прослывший невероятной жестокостью. Даже имя его никто не знал, зато у него было прозвище - Рвач. Не за просто так дали ему это прозвище - он любил подвешивать людей за ноги и живьем спускать с них кожу, наслаждаясь их криками. Даже своих бандитов он не щадил - неугодных он подвешивал за кожу на крюки и жег каленым железом. Но однажды его разбойник Богдан не выдержал, и когда Рвач возвращался пьяный домой, Богдан дождался, пока тот ляжет спать, ворвался в его комнату и что было мочи ударил того топором по голове. Но не смог топор погубить такого душегуба - лишь ранил, но тот остался жив. Рвач вскочил с кровати и руками оторвал Богдану челюсть и свернул шею. Удар топором повредил мозг Рвача, и вся жестокость и безумие вышли наружу. Наутро местные жители нашли в том доме всю банду атамана, безжалостно расчлененную. Не хватало лишь трупа Рвача, обезумевшего и убежавшего в лес. С тех пор то место, в 200 километров от Киева, считалось проклятым, даже люди из селения рядом разъехались все, а история разошлась по устам.  В наше время в Киеве жила семья - мать отец,и две дочки. Младшая была очень впечатлительной, гуляла по ночам, читала ужасы. Жили они весьма счастливо, родители хорошо зарабатывали, любили детей, да и дети их любили. Собрались они как-то по грибы. Доехали они до леса, вышли, набрали грибов и заблудились. До вечера они плутали в лесу, пока не вышли на заброшенное село. Начался дождь, но дома в селе были деревяные, давно разрушенные от времени, так что в них нельзя было бы укрыться. Зато недалеко от селения они нашли прекрасно сохранившийся каменный дом. Решили там переночевать, так как все жутко устали. Там было 3 комнаты, их разделили так - мама с папой в одной, а дочки в своих комнатах.  Ночью младшей дочери снился страшный сон - Рвач зашел в комнату к её отцу и оглушил его топором. Затем вытащил его еще живое тело на нижний этаж и расчленил. Утром она забежала к маме и увидела, что папы с ней нет. Младшая сестра всех разбудила, они спустились вниз и увидели куски тела в большой луже крови. Это был их отец. Мама с дочками похоронили его. Мать отправилась искать помощь, а дочери остались в доме. Под вечер мама пришла, так и не встретив никого.  В эту ночь младшей дочке приснился такой же жуткий сон - Рвач заходит в комнату к матери, одним ударом отрубает ей голову и уносит с собой. Утром дочки зашли в комнату к матери - та лежала на кровати без головы. Похоронили её, а старшая дочка отправилась за помощью. Под вечер она вернулась, также никого не найдя. Легли спать. В эту ночь дочке снился самый страшный сон в её жизни: Рвач зашёл в комнату старшей сестры, отрубил ей голову, руки, ноги, и стал грызть её левую руку.  Утром младшая дочка зашла в комнату сестры и увидела её мертвой, разрезанной на части, а левая рука была погрызана. Девочка заплакала, и вдруг заметила, что из комнаты сестры тонкая дорожка из крови ведет в её комнату. Девочка подошла к двери, потянулась к ручке и увидела, что руки её в крови. Зайдя в комнату, младшая сестра увидела, что дорожка из крови ведет в её шкаф. Она открыла шкаф и не поверила своим глазам - там была голова матери и окровавленный топор...  Через 2 недели охотники нашли этот дом и увидели тощую девочку, сидящую в углу и сжимающую топор. Она посмотрела на нах своими безумными глазами и кинулась в их сторону. Но едва она успела замахнуться топором, выстрел из ружья снёс ей пол-головы."
Старцы и пиковая дама,"Жила мать и было у неё 2 дочки. Ушла она и сказала дочерям Яне и Тане, чтоб никому не открывали дверь. Сидят девочки, играют, и тут в дверь позвонили. Девочки открыли её, а на пороге стоят два старца. Девочки уже хотели бежать, но старцы сказали:   - Давайте сыграем в карты. - И девочки согласились.  Играют они в карты, и вдруг у Тани упала пиковая дама. Она нагнулась, чтобы поднять, и увидела, что у старцев вместо ног копыта. Она испугалась, сказала:  - Пойду сделаю чая, - и позвала Яну, но та отказалась.   Приходит Таня через 10 минут, и чуть не потеряла сознание. Старцев нет, а Яна подвешена к потолку, и её же кровью написано: ""Тебя спасла пиковая дама""."
НЛО,"Однажды несколько подружек решили вызвать НЛО! Они поставили свечи, выложили спичками специальное слово, встали в круг и начали говорить:   - НЛО приди, - НЛО приди, - НЛО приди...  Вдруг, откуда ни возьмись, вспыхнул очень, очень, яркий свет! Наутро девочек нашли мёртвыми на крыше дома!"
Монстр в шкафу,"Один мальчик очень боялся, что у него в шкафу живет монстр. Его старший брат решил доказать, что  шкафу никого нет. Он зашел в шкаф и закрыл дверь. Через минуту младший брат услышал крики из шкафа, но он подумал, что старший брат так шутит. Через десять минут крики прекратились. Мальчик открыл шкаф, но в нем никого не было."
Красная морда и зеленая рука,"Был на свете мальчик. У него была брызгалка. И они любили этой брызгалкой поливать прохожих с мальчишками. Каждое утро она оказывалась за шкафом. И вдруг на улице каждый день стал появляться какой-то дядька с красным лицом. А мальчишки обзывали его «красной мордой». А брызгалка на него не брызгала.   А как-то ночью мальчику не спалось. Он посмотрел на шкаф, а там его брызгалка стояла. Посмотрел туда и видит: вместо брызгалки зеленая рука, а рядом с ней красная морда. Они на него посмотрели. Зеленая рука подлетела и стала его душить, а красная морда шептать:  - Красная морда и зеленая рука, красная морда и зеленая рука, красная морда и зеленая рука…"
Черный петух,"Один мальчик залез в огород к соседке. Та очень рассердилась, но виду не подала - пригласила пацана на чай. А в чай ему подсыпала измельчённых петушиных перьев, куриной крови... Мальчик выпил и стал обрастать чёрными перьями. Через пять минут он стал чёрным петухом.   Соседка позвонила родителям мальчика и стала предлагать им купить петуха. Те обрадовались и купили петуха, ощипали его, зажарили и съели. Только не знали они, что это был не простой петух, а их собственный сын...  Потом в деревне пропала девочка. Через некоторое время та самая старуха продала им уже зажаренную уточку...  Старуха была рада: и от надоедливых детей избавляется, и деньги выручает от продажи домашней птицы!"
Два рубина,"Жила-была одна женщина с дочерью. Однажды они нашли два рубина. А ее дочка говорит: - Давай один рубин мне, а другой тебе? Мама согласилась: - Только когда я умру, положи мне его в руку. Пускай меня так и похоронят.  Так она и сделала. И поженилась она на очень много пьющем человеке. Однажды он приходит домой и говорит: - Я пропил все деньги и твой рубин тоже. Давай пойдем к твоей матери, раскопаем и возьмем у нее рубин. Ну, она согласилась.  Вот они идут по кладбищу поздно вечером. Пришли они к могиле, раскопали. И видят: Рубин не снимается. И потом решили отрезать кисть. Идут они уже домой по кладбищу. Как будто кто-то за ними идет. Оборачиваются – никого нет. Испугались они, побежали домой. Прибежали, закрыли все окна и двери. Вдруг – звонок в дверь. Дверь открыли – там ее мать:  - Привет, доченька! - Привет, мамочка! - А пальцы-то, пальцы!!! - (схватить человека неожиданно за руку и крикнуть последние слова)"
Фотоаппарат,"Однажды семья купила фотоаппарат. Родители ушли на работу, пригрозив детям, что нельзя пользоваться фотоаппаратом в их отсутствии.   Дети не послушались. Мальчик взял фотоаппарат и сфотографировал сестру. После этого сестры не оказалось. На фотографии был улыбающийся скелет.   Мальчик бросил фотоаппарат на пол. Фотоаппарат взлетел и сфотографировал мальчика, но сфотографировал только его руку. Мальчик взглянул на руку, там были кости. Мальчик испугался и умер.   Фотоаппарат вылетел на улицу, сфотографировал дом, и он сгорел."
Китайские ковры,"Это давно случилось, когда сам Мао Цзедун  помер. Тогда в один город привезли в магазины целую партию китайских ковров. Ковры были очень красивые, все в цветах и узорах; люди их быстро раскупили и на стенки повесили. Только после этого участились случаи внезапной смерти по ночам. Очень часто люди от разрыва сердца умирать стали. И скорая не успевала к ним приезжать.   В этом городе женщина с сыном жила. Сын уже взрослый был. А квартира у них была двухкомнатная. И потому мать спала в большой комнате, а сын - в маленькой. И вот однажды купила женщина такой большой китайский ковер. Она, конечно, его на стенку в большой комнате повесила и весь день вместе с сыном на него любовалась. А ночью раздался из большой комнаты страшный крик. Сын испугался, вызвал милицию. Заходит милиция в большую комнату и видит: лежит мертвая женщина на постели; и у нее нет никаких ран и синяков, только на лице выражение смертельного ужаса. Никто ничего не понимает, а один милиционер, опытный лейтенант (его потом следователем взяли), догадался свет выключить.   Стало темно и все увидели ужасающую картину. На стене гроб светится, в нем лежит Мао Цзедун. В руках его, на груди сложенных, свечка зеленым огнем горит. А глаза открыты и на людей смотрят. Опытный лейтенант сразу же свет включил. И снова ничего нет, только на стенке ковер висит, разными цветами переливается. Тогда поняли все, что это от страха люди умирали, когда ночью гроб с Мао Цзедуном видели.  А это китайцы специально фосфорецирующими нитками на своих коврах вышивали. При свете и не видно ничего, а в темноте светится. Так они со своим вождем прощались."
Красный бантик,"Жили-были дочка и мать. Однажды идут они в магазин, и девочка увидела красивый красный бантик. - Мама, купи мне этот бантик! - попросила дочка маму. - Я сейчас не могу его купить, ведь я должна купить продукты! - Ну мама, ну пожалуйста! - И мама согласилась.  Купила мама девочке бантик. Он ей так понравился, что она его сразу и одела.  Наступила ночь, и девочка решила лечь спать с бантиком. Наутро проснулась девочка и пошла умываться. Стала умываться, и видит в зеркале, что у неё нет волос и нет бантика. Она закричала, позвала маму, а мама уже ушла на работу.  В девять часов вечера пришла мама, но девочка накрылась с головой и притворилась, что легла спать. Но она никак не могла уснуть. Ровно в полночь она услышала скрип, и вышла в мамину комнату. Видит, бантик летит к маме. Девочка очень испугалась и вернулась на кровать.  На следующее утро мама не пошла на работу, потому что у мамы тоже не было волос. Вечером они вызвали милицию. Пришли два милиционера и остались. Ровно в полночь снова послышался скрип, и бантик влетел в комнату. Тут первый милиционер накинул на бантик сетку, а второй начал стрелять. Из бантика полилась кровь, а у мамы и девочки отросли волосы."
Живая кукла,"У одной девочки была живая кукла. Однажды мама девочки послала ее в лес набрать грибов. Девочка взяла с собой куклу. Вдруг пришла стая волков. Девочка испугалась. Когда волки напали на девочку, кукла ожила и заступилась за девочку. Утром в лесу нашли девочку с грибами, а рядом растерзанную куклу."
Медвежья голова,"Жили-были в глухой деревушке старик да старуха. Вот однажды пошла старуха по грибы. Вышла на поляну – вся поляна в грибах. Наклонилась она к одному грибу – тот исчез, к другому – то же. И так шла она за исчезающими грибами, пока не забрела в чащу. И вдруг с ели спрыгнул человек с медвежьей головой. Изо рта у него выскочила трубочка, вошла старухе в горло. В несколько секунд высосал из старухи кровь и исчез.  Ждал старуху старик, ждал – не дождался. Взял ружье и топор и отправился искать. Шел он по лесу и вдруг увидел мужика с медвежьей головой. Тот стоял к нему спиной, срезал грибы и ставил их на место. Услышал Медвежья голова шорох сзади, обернулся и бросился на старика. Старик в него – из ружья, да только пули отлетают. Тогда старик взял топор и метнул его в Медвежью голову, но топор отскочил, попал в старика и убил его.  А в округе стали пропадать люди. Однажды пропала девочка, и нашли в лесу только ее голову. Тогда устроили облаву, обшарили пол-леса и нашли в чаще дом, сложенный из костей. Вошли в него – никого нет. А у дверей лежал коврик. Второпях его свернули. И вдруг слышат – идет кто-то. Поправили коврик, да не так. Подошел к дому Медвежья голова, увидел, что коврик сдвинут, - и бежать. Хотели его догнать, да где там!  Прошло время. В другой местности стали пропадать люди. Тогда вызвали туда милицию и устроили облаву. Но перед тем стали узнавать, как можно одолеть Медвежью голову. Многих спрашивали. Никто не знает. А на окраине села жил древний волхв. Он сказал:  - Его никак не одолеешь, не возьмешь. Но есть один способ. Его надо схватить и посадить в большой котел, а крышку закрыть накрепко. Под котлом положить воз осиновых дров и, пока дрова не обратятся в пепел до последнего, котел не открывать.  Волхву спасибо, пошли и набрели среди болота на избушку из костей. А в ней сидел Медвежья голова. Связали его и исполнили все точь-в-точь, как сказал волхв. Когда открыли котел, то на дне его стояла лишь баночка с кровью."
Желтый пакет,"Однажды брат и сестра гуляли во дворе своего дома и увидели на дереве желтый пакет. Брата звали Саша, а сестру - Лена. Саша залез на дерево и достал пакет. В пакете лежала сложенная бумага. Лена хотела выбросить ее. Но Саша развернул и увидел, что это карта. В центре был нарисован сундук с бриллиантами.  - Видишь, здесь зарыт клад, - сказал Саша сестре. – Пойдем его искать!  И они пошли. Дорога привела их в темный лес. Вековые деревья расступались перед ними и стеной смыкались за их спиной. Ни один луч солнца не проникал сквозь черную хвою. Тропинка уводила их все дальше и дальше, и им уже начало казаться, что они заблудились. Как вдруг они увидели УКАЗАТЕЛЬ. Высоко над их головой, на елке висела огромная ЖЕЛТАЯ РУКА. Указательный палец показывал направление.   - Саша, может быть, мы вернемся? - сказала девочка. - Нас уже мама ищет! - А как же клад? - спросил Саша. - Мама будет рада, если мы принесем ей сокровища!  И они пошли дальше. Вскоре лес стал редеть, и они вышли на поляну. На ней стоял холм, похожий на дзот. Бетонная дверь была открыта. Вниз вели ступеньки. На пороге лежали старинные золотые монеты.  - Вот видишь, - сказал Саша,- здесь и есть клад!  Они подобрали монеты и стали спускаться по винтовой лестнице. Лестница была темной, но внизу что-то светилось. Спустившись, они оказались в большой комнате из дуба. В ней горел камин. А напротив стояло кресло, в нем сидел кто-то. Это был мертвец. Он сидел, закинув голову и прикрыв глаза. Лицо его было бледное и худое, с острым носом и тонкими сжатыми губами. Мертвая рука свешивалась с кресла из-под окровавленного савана. Лене стало страшно: ей показалось, что мертвец смотрит на них. Но брат сказал, что все это глупости.  Рядом с камином они увидели дверь и пошли к ней. Когда они проходили мимо мертвеца, одно его веко дрогнуло, и из-под него сверкнул цепкий колючий глаз - будто сфотографировал - и моментально закрылся. Дети ничего не заметили и вошли в соседнюю комнату. Там стоял мальчик и держал в руках бриллианты. Мальчик вздрогнул, но, увидев их, очень обрадовался. Оказалось, что его зовут Гоша, он тоже нашел желтый пакет и пришел за кладом, но уже давно здесь, так как не может выбраться из этой комнаты. Лена взяла у него один бриллиант посмотреть, но он упал и разбился. Ребята поняли, что это была стекляшка, а их заманили в ловушку.   Неожиданно дверь распахнулась, и в комнату вошел мертвец. Вернее тот, кого они считали за мертвеца. Все вздрогнули от ужаса. Мертвец улыбнулся им фальшивой любезной улыбкой, показывая мелкие острые зубы. Он сказал им, чтобы они не пугались, просто он хотел пригласить их к себе в гости, потому что очень любит детей. Он попросил их обождать, так как хочет их угостить, и вышел из комнаты. Ребятам стало страшно, и они стали искать, куда бы им спрятаться. В комнате была еще одна дверь, они стали рваться в нее, но дверь не открывалась. Гоша случайно нажал какой-то секрет, и дверь медленно отодвинулась. Ребята вбежали в нее, и стена за ними закрылась.  Они оказались в комнате, облицованной белым кафелем.  Вдоль стен тянулись полки, на которых стояли разные банки и пробирки. Дети стали разглядывать их и ужаснулись. В двух больших банках были две живые человеческие головы. Головы посмотрели на них и стали переглядываться друг с другом. Вместо слов изо рта у них влетали пузыри. Рядом в банке плавала человеческая рука. Гоша увидел ее и в ужасе прижался лбом к стеклу. Рука вдруг сложилась в фигу и стала крутиться у Гоши перед носом. Гоша шарахнулся от банки и полетел на пол. В это время раздался еле слышный стон. Они обернулись и увидели в углу стол, на котором лежало нечто, накрытое простыней. Они сдернули простыню и застыли: на столе лежало человеческое тело, все изрезанное ножами.   Тут дверь открылась. Вошел ОН. И, схватив детей, затолкнул их в клетку. Только тут Лена разглядела: то, что показалось им саваном, на самом деле было хирургическим халатом. Он ушел, и наступила темнота. В комнате наступила гробовая тишина, нарушаемая лишь ударами капель о кафельный пол. Дети стали приглядываться и различили в темноте портрет женщины, висевший над операционным столом. Женщина на картине склонила голову, из ее глаз катились настоящие слезы.   Вдруг портрет ожил. Женщина сошла с него, подошла к умирающему, наклонилась и стала шептать ему что-то. У детей появилась надежда, что она сможет помочь им. И они стали умолять ее выпустить их. Женщина, не говоря ни слова, подошла к клетке и открыла дверцу. Дети принялись благодарить ее, но она смотрела на них такими печальными глазами, что они поняли – она не верит в их спасение. Они тихонько прошли комнату с камином и стали подниматься по лестнице. К их радости наружная дверь была открыта, и за ней было раннее утро. Дети выбежали на улицу.  - Бежим скорей домой, к маме! - радостно закричал Саша.  Но тут ноги у них подкосились. Прямо перед ними на дорожке показался ОН. ОН шел медленно и улыбался своей хищной улыбкой. И хотя он был еще далеко, и можно было успеть убежать, они не двигались с места и глазами, полными тупого безразличия, смотрели на ЕГО приближение..."
